# x sin(systeme) approximation
0.248764 0.246207 0.246207
0.250021 0.247424 0.247424
0.251277 0.248641 0.248641
0.252534 0.249858 0.249858
0.25379 0.251074 0.251074
0.255046 0.25229 0.25229
0.256303 0.253506 0.253506
0.257559 0.254721 0.254721
0.258815 0.255936 0.255936
0.260072 0.25715 0.25715
0.261328 0.258364 0.258364
0.262585 0.259577 0.259577
0.263841 0.260791 0.260791
0.265097 0.262003 0.262003
0.266354 0.263216 0.263216
0.26761 0.264427 0.264427
0.268867 0.265639 0.265639
0.270123 0.26685 0.26685
0.271379 0.268061 0.268061
0.272636 0.269271 0.269271
0.273892 0.270481 0.270481
0.275148 0.27169 0.27169
0.276405 0.272899 0.272899
0.277661 0.274107 0.274107
0.278918 0.275315 0.275315
0.280174 0.276523 0.276523
0.28143 0.27773 0.27773
0.282687 0.278937 0.278937
0.283943 0.280143 0.280143
0.2852 0.281349 0.281349
0.286456 0.282554 0.282554
0.287712 0.283759 0.283759
0.288969 0.284964 0.284964
0.290225 0.286168 0.286168
0.291482 0.287372 0.287372
0.292738 0.288575 0.288575
0.293994 0.289777 0.289777
0.295251 0.29098 0.29098
0.296507 0.292181 0.292181
0.297763 0.293383 0.293383
0.29902 0.294584 0.294584
0.300276 0.295784 0.295784
0.301533 0.296984 0.296984
0.302789 0.298183 0.298183
0.304045 0.299382 0.299382
0.305302 0.300581 0.300581
0.306558 0.301779 0.301779
0.307815 0.302977 0.302977
0.309071 0.304174 0.304174
0.310327 0.30537 0.30537
0.311584 0.306566 0.306566
0.31284 0.307762 0.307762
0.314096 0.308957 0.308957
0.315353 0.310152 0.310152
0.316609 0.311346 0.311346
0.317866 0.31254 0.31254
0.319122 0.313733 0.313733
0.320378 0.314926 0.314926
0.321635 0.316118 0.316118
0.322891 0.31731 0.31731
0.324148 0.318501 0.318501
0.325404 0.319692 0.319692
0.32666 0.320882 0.320882
0.327917 0.322071 0.322071
0.329173 0.323261 0.323261
0.330429 0.324449 0.324449
0.331686 0.325637 0.325637
0.332942 0.326825 0.326825
0.334199 0.328012 0.328012
0.335455 0.329199 0.329199
0.336711 0.330385 0.330385
0.337968 0.331571 0.331571
0.339224 0.332756 0.332756
0.340481 0.33394 0.33394
0.341737 0.335124 0.335124
0.342993 0.336308 0.336308
0.34425 0.33749 0.33749
0.345506 0.338673 0.338673
0.346762 0.339855 0.339855
0.348019 0.341036 0.341036
0.349275 0.342217 0.342217
0.350532 0.343397 0.343397
0.351788 0.344577 0.344577
0.353044 0.345756 0.345756
0.354301 0.346935 0.346935
0.355557 0.348113 0.348113
0.356814 0.34929 0.34929
0.35807 0.350467 0.350467
0.359326 0.351644 0.351644
0.360583 0.35282 0.35282
0.361839 0.353995 0.353995
0.363095 0.35517 0.35517
0.364352 0.356344 0.356344
0.365608 0.357517 0.357517
0.366865 0.35869 0.35869
0.368121 0.359863 0.359863
0.369377 0.361035 0.361035
0.370634 0.362206 0.362206
0.37189 0.363377 0.363377
0.373147 0.364547 0.364547
0.374403 0.365717 0.365717
0.375659 0.366886 0.366886
0.376916 0.368054 0.368054
0.378172 0.369222 0.369222
0.379429 0.37039 0.37039
0.380685 0.371556 0.371556
0.381941 0.372723 0.372723
0.383198 0.373888 0.373888
0.384454 0.375053 0.375053
0.38571 0.376217 0.376217
0.386967 0.377381 0.377381
0.388223 0.378544 0.378544
0.38948 0.379707 0.379707
0.390736 0.380869 0.380869
0.391992 0.38203 0.38203
0.393249 0.383191 0.383191
0.394505 0.384351 0.384351
0.395762 0.385511 0.385511
0.397018 0.38667 0.38667
0.398274 0.387828 0.387828
0.399531 0.388986 0.388986
0.400787 0.390143 0.390143
0.402043 0.3913 0.3913
0.4033 0.392456 0.392456
0.404556 0.393611 0.393611
0.405813 0.394766 0.394766
0.407069 0.39592 0.39592
0.408325 0.397073 0.397073
0.409582 0.398226 0.398226
0.410838 0.399378 0.399378
0.412095 0.400529 0.400529
0.413351 0.40168 0.40168
0.414607 0.402831 0.402831
0.415864 0.40398 0.40398
0.41712 0.405129 0.405129
0.418376 0.406277 0.406277
0.419633 0.407425 0.407425
0.420889 0.408572 0.408572
0.422146 0.409719 0.409719
0.423402 0.410864 0.410864
0.424658 0.41201 0.41201
0.425915 0.413154 0.413154
0.427171 0.414298 0.414298
0.428428 0.415441 0.415441
0.429684 0.416583 0.416583
0.43094 0.417725 0.417725
0.432197 0.418867 0.418867
